Season,County,Flu Week,CDC Week,Count,Population,Area_sq_miles,Population Density,Log_Population_Density,Density_Rank,Flu_Case_Count_per_100k,Normalized Count
2013,Albany,1,40,0,304039,522.89,581.5,6.366796855,2,0,0
2013,Albany,2,41,0,304039,522.89,581.5,6.366796855,2,0,0
2013,Albany,3,42,0,304039,522.89,581.5,6.366796855,2,0,0
2013,Albany,4,43,0,304039,522.89,581.5,6.366796855,2,0,0
2013,Albany,5,44,0,304039,522.89,581.5,6.366796855,2,0,0
2013,Albany,6,45,0,304039,522.89,581.5,6.366796855,2,0,0
2013,Albany,7,46,1,304039,522.89,581.5,6.366796855,2,0.328905173,0.01694915254
2013,Albany,8,47,0,304039,522.89,581.5,6.366796855,2,0,0
2013,Albany,9,48,1,304039,522.89,581.5,6.366796855,2,0.328905173,0.0125
2013,Albany,10,49,3,304039,522.89,581.5,6.366796855,2,0.98671552,0.01639344262
2013,Albany,11,50,6,304039,522.89,581.5,6.366796855,2,1.97343104,0.0221402214
2013,Albany,12,51,6,304039,522.89,581.5,6.366796855,2,1.97343104,0.01052631579
2013,Albany,13,52,19,304039,522.89,581.5,6.366796855,2,6.249198294,0.01565074135
2013,Albany,14,1,26,304039,522.89,581.5,6.366796855,2,8.551534507,0.0164556962
2013,Albany,15,2,39,304039,522.89,581.5,6.366796855,2,12.82730176,0.01837888784
2013,Albany,16,3,69,304039,522.89,581.5,6.366796855,2,22.69445696,0.0247666906
2013,Albany,17,4,53,304039,522.89,581.5,6.366796855,2,17.43197419,0.01987996999
2013,Albany,18,5,45,304039,522.89,581.5,6.366796855,2,14.8007328,0.01882845188
2013,Albany,19,6,32,304039,522.89,581.5,6.366796855,2,10.52496555,0.0144469526
2013,Albany,20,7,35,304039,522.89,581.5,6.366796855,2,11.51168107,0.02016129032
2013,Albany,21,8,12,304039,522.89,581.5,6.366796855,2,3.94686208,0.009375
2013,Albany,22,9,8,304039,522.89,581.5,6.366796855,2,2.631241387,0.007366482505
2013,Albany,23,10,10,304039,522.89,581.5,6.366796855,2,3.289051733,0.009803921569
2013,Albany,24,11,14,304039,522.89,581.5,6.366796855,2,4.604672427,0.01098039216
2013,Albany,25,12,8,304039,522.89,581.5,6.366796855,2,2.631241387,0.005242463958
2013,Albany,26,13,16,304039,522.89,581.5,6.366796855,2,5.262482774,0.007557864903
2013,Albany,27,14,29,304039,522.89,581.5,6.366796855,2,9.538250027,0.0111882716
2013,Albany,28,15,34,304039,522.89,581.5,6.366796855,2,11.18277589,0.01327088212
2013,Albany,29,16,22,304039,522.89,581.5,6.366796855,2,7.235913814,0.01153039832
2013,Albany,30,17,22,304039,522.89,581.5,6.366796855,2,7.235913814,0.01779935275
2013,Albany,31,18,32,304039,522.89,581.5,6.366796855,2,10.52496555,0.03448275862
2013,Albany,32,19,17,304039,522.89,581.5,6.366796855,2,5.591387947,0.02768729642
2013,Albany,33,20,8,304039,522.89,581.5,6.366796855,2,2.631241387,0.01895734597
2013,Allegany,1,40,0,47938,1029.44,46.6,3.844814256,1,0,0
2013,Allegany,2,41,0,47938,1029.44,46.6,3.844814256,1,0,0
2013,Allegany,3,42,1,47938,1029.44,46.6,3.844814256,1,2.086027786,0.04347826087
2013,Allegany,4,43,0,47938,1029.44,46.6,3.844814256,1,0,0
2013,Allegany,5,44,0,47938,1029.44,46.6,3.844814256,1,0,0
2013,Allegany,6,45,0,47938,1029.44,46.6,3.844814256,1,0,0
2013,Allegany,7,46,1,47938,1029.44,46.6,3.844814256,1,2.086027786,0.01694915254
2013,Allegany,8,47,0,47938,1029.44,46.6,3.844814256,1,0,0
2013,Allegany,9,48,0,47938,1029.44,46.6,3.844814256,1,0,0
2013,Allegany,10,49,0,47938,1029.44,46.6,3.844814256,1,0,0
2013,Allegany,11,50,5,47938,1029.44,46.6,3.844814256,1,10.43013893,0.0184501845
2013,Allegany,12,51,1,47938,1029.44,46.6,3.844814256,1,2.086027786,0.001754385965
2013,Allegany,13,52,1,47938,1029.44,46.6,3.844814256,1,2.086027786,0.000823723229
2013,Allegany,14,1,2,47938,1029.44,46.6,3.844814256,1,4.172055572,0.001265822785
2013,Allegany,15,2,12,47938,1029.44,46.6,3.844814256,1,25.03233343,0.005655042413
2013,Allegany,16,3,19,47938,1029.44,46.6,3.844814256,1,39.63452793,0.006819813352
2013,Allegany,17,4,19,47938,1029.44,46.6,3.844814256,1,39.63452793,0.007126781695
2013,Allegany,18,5,23,47938,1029.44,46.6,3.844814256,1,47.97863908,0.009623430962
2013,Allegany,19,6,29,47938,1029.44,46.6,3.844814256,1,60.49480579,0.01309255079
2013,Allegany,20,7,18,47938,1029.44,46.6,3.844814256,1,37.54850015,0.01036866359
2013,Allegany,21,8,9,47938,1029.44,46.6,3.844814256,1,18.77425007,0.00703125
2013,Allegany,22,9,3,47938,1029.44,46.6,3.844814256,1,6.258083358,0.002762430939
2013,Allegany,23,10,8,47938,1029.44,46.6,3.844814256,1,16.68822229,0.007843137255
2013,Allegany,24,11,0,47938,1029.44,46.6,3.844814256,1,0,0
2013,Allegany,25,12,4,47938,1029.44,46.6,3.844814256,1,8.344111144,0.002621231979
2013,Allegany,26,13,2,47938,1029.44,46.6,3.844814256,1,4.172055572,0.0009447331129
2013,Allegany,27,14,1,47938,1029.44,46.6,3.844814256,1,2.086027786,0.0003858024691
2013,Allegany,28,15,1,47938,1029.44,46.6,3.844814256,1,2.086027786,0.0003903200625
2013,Allegany,29,16,0,47938,1029.44,46.6,3.844814256,1,0,0
2013,Allegany,30,17,1,47938,1029.44,46.6,3.844814256,1,2.086027786,0.0008090614887
2013,Allegany,31,18,0,47938,1029.44,46.6,3.844814256,1,0,0
2013,Allegany,32,19,0,47938,1029.44,46.6,3.844814256,1,0,0
2013,Allegany,33,20,0,47938,1029.44,46.6,3.844814256,1,0,0
2013,Bronx,1,40,11,1389918,42.17,"32,959.90",10.40583706,3,0.791413594,0.5
