Season,County,Flu Week,CDC Week,Count,Population,Area_sq_miles,Population Density,Log_Population_Density,Density_Rank,Flu_Case_Count_per_100k,Normalized Count
2017,Albany,1,40,0,303819,522.89,581,6.366796855,2,0,0
2017,Albany,2,41,0,303819,522.89,581,6.366796855,2,0,0
2017,Albany,3,42,0,303819,522.89,581,6.366796855,2,0,0
2017,Albany,4,43,1,303819,522.89,581,6.366796855,2,0.329143339,0.009900990099
2017,Albany,5,44,0,303819,522.89,581,6.366796855,2,0,0
2017,Albany,6,45,0,303819,522.89,581,6.366796855,2,0,0
2017,Albany,7,46,0,303819,522.89,581,6.366796855,2,0,0
2017,Albany,8,47,1,303819,522.89,581,6.366796855,2,0.329143339,0.004784688995
2017,Albany,9,48,7,303819,522.89,581,6.366796855,2,2.30400337,0.01785714286
2017,Albany,10,49,7,303819,522.89,581,6.366796855,2,2.30400337,0.0122591944
2017,Albany,11,50,7,303819,522.89,581,6.366796855,2,2.30400337,0.00785634119
2017,Albany,12,51,35,303819,522.89,581,6.366796855,2,11.52001685,0.02008032129
2017,Albany,13,52,46,303819,522.89,581,6.366796855,2,15.14059358,0.01593349498
2017,Albany,14,1,63,303819,522.89,581,6.366796855,2,20.73603033,0.01600609756
2017,Albany,15,2,159,303819,522.89,581,6.366796855,2,52.33379084,0.02615992103
2017,Albany,16,3,140,303819,522.89,581,6.366796855,2,46.08006741,0.01799717187
2017,Albany,17,4,158,303819,522.89,581,6.366796855,2,52.0046475,0.01353319058
2017,Albany,18,5,158,303819,522.89,581,6.366796855,2,52.0046475,0.01003811944
2017,Albany,19,6,183,303819,522.89,581,6.366796855,2,60.23323097,0.01088184575
2017,Albany,20,7,174,303819,522.89,581,6.366796855,2,57.27094092,0.009530069011
2017,Albany,21,8,159,303819,522.89,581,6.366796855,2,52.33379084,0.01162535644
2017,Albany,22,9,102,303819,522.89,581,6.366796855,2,33.57262054,0.01577238287
2017,Albany,23,10,43,303819,522.89,581,6.366796855,2,14.15316356,0.01146055437
2017,Albany,24,11,46,303819,522.89,581,6.366796855,2,15.14059358,0.01506221349
2017,Albany,25,12,35,303819,522.89,581,6.366796855,2,11.52001685,0.01251788269
2017,Albany,26,13,38,303819,522.89,581,6.366796855,2,12.50744687,0.01308990699
2017,Albany,27,14,38,303819,522.89,581,6.366796855,2,12.50744687,0.01663747811
2017,Albany,28,15,32,303819,522.89,581,6.366796855,2,10.53258684,0.01779755284
2017,Albany,29,16,16,303819,522.89,581,6.366796855,2,5.266293418,0.01150251618
2017,Albany,30,17,25,303819,522.89,581,6.366796855,2,8.228583466,0.02380952381
2017,Albany,31,18,20,303819,522.89,581,6.366796855,2,6.582866773,0.02600780234
2017,Albany,32,19,11,303819,522.89,581,6.366796855,2,3.620576725,0.02407002188
2017,Albany,33,20,4,303819,522.89,581,6.366796855,2,1.316573355,0.01724137931
2017,Allegany,1,40,0,46594,1029.44,45.3,3.844814256,1,0,0
2017,Allegany,2,41,0,46594,1029.44,45.3,3.844814256,1,0,0
2017,Allegany,3,42,0,46594,1029.44,45.3,3.844814256,1,0,0
2017,Allegany,4,43,0,46594,1029.44,45.3,3.844814256,1,0,0
2017,Allegany,5,44,0,46594,1029.44,45.3,3.844814256,1,0,0
2017,Allegany,6,45,1,46594,1029.44,45.3,3.844814256,1,2.146199081,0.008620689655
2017,Allegany,7,46,0,46594,1029.44,45.3,3.844814256,1,0,0
2017,Allegany,8,47,0,46594,1029.44,45.3,3.844814256,1,0,0
2017,Allegany,9,48,1,46594,1029.44,45.3,3.844814256,1,2.146199081,0.002551020408
2017,Allegany,10,49,0,46594,1029.44,45.3,3.844814256,1,0,0
2017,Allegany,11,50,1,46594,1029.44,45.3,3.844814256,1,2.146199081,0.001122334456
2017,Allegany,12,51,2,46594,1029.44,45.3,3.844814256,1,4.292398163,0.001147446931
2017,Allegany,13,52,2,46594,1029.44,45.3,3.844814256,1,4.292398163,0.0006927606512
